item_id,mean_sales,zero_ratio,cv,slope,tail_zero_days,gini,seasonality_strength,active_span,nonzero_runs,std_sales,sales_burst_ratio,max_zero_run
FOODS_1_147,0.1092896174863388,0.9836065573770492,11.130925388304425,0.0010409661673757582,0,0.9920765027322405,0.02628520644951915,366,4,1.2164945779567677,3.0,209
HOUSEHOLD_2_258,0.19672131147540983,0.9153005464480874,9.696911497615755,0.0024270445604744925,0,0.9607619914996964,0.014517458721200565,366,21,1.9075891470719517,15.499999999999998,98
HOBBIES_1_212,0.24043715846994534,0.8825136612021858,9.631645500189588,0.002099555086703327,0,0.9410084451068058,0.015951805437086745,366,40,2.31580547545542,21.5,38
HOUSEHOLD_1_512,0.29508196721311475,0.8907103825136612,9.660438606713159,0.0023107833496812907,0,0.953551912568306,0.01868048227571847,366,22,2.85062122821044,20.0,96
HOUSEHOLD_1_018,0.3333333333333333,0.9453551912568307,9.87462387746042,0.00018871030215064953,0,0.9778733315417003,0.019075909860361534,366,6,3.291541292486807,10.0,338
HOUSEHOLD_2_267,0.453551912568306,0.8579234972677595,9.678554048889875,0.005194550898240232,0,0.9478899203370861,0.014213714627936863,366,32,4.389726699769725,26.0,142
HOBBIES_1_214,0.45901639344262296,0.8142076502732241,9.595939652953703,0.002730547510755691,0,0.9191712204007286,0.016807035585667287,366,57,4.404693611191864,34.0,29
HOBBIES_2_119,0.5737704918032787,0.7513661202185792,9.57445581125281,0.004178060775241991,0,0.8882903981264637,0.015603026654889064,366,72,5.493540219571283,45.50000000000001,24
HOUSEHOLD_2_392,0.6830601092896175,0.7158469945355191,9.56624733111161,0.006502305949330916,0,0.8755409836065574,0.017571361799053796,366,73,6.534321947480608,52.0,16
HOUSEHOLD_2_158,0.6939890710382514,0.7486338797814208,9.578224756434722,0.006583321656220495,0,0.8979605008390344,0.015026531525904599,366,48,6.647183300913714,46.0,91
HOUSEHOLD_2_202,0.7814207650273224,0.7185792349726776,9.570593705511909,0.0076649180572629285,0,0.8861056975811075,0.015799204206555877,366,60,7.4786606551267925,51.5,91
HOUSEHOLD_2_290,0.8087431693989071,0.674863387978142,9.563076324077493,0.006327791752919226,0,0.8625387682764732,0.015929141160689907,366,75,7.734072655538082,59.5,14
FOODS_2_318,0.8524590163934426,0.9726775956284153,10.100878015617777,0.00014073725517070894,0,0.9856732520666946,0.016503362649075617,366,2,8.610584537903678,5.0,356
FOODS_1_084,0.8961748633879781,0.7240437158469946,9.586178439460156,0.00798898088482124,0,0.9002898840463814,0.019617325269952243,366,65,8.590892153395986,50.5,16
HOUSEHOLD_2_087,0.9726775956284153,0.6557377049180327,9.561596401318102,0.008890433599245158,0,0.863725670780377,0.01811037464554823,366,65,9.3003505980034,62.99999999999999,91
FOODS_3_315,1.010928961748634,0.8907103825136612,9.687338584625678,0.0010412109278195318,0,0.9595923792645105,0.016529273462383087,366,4,9.793211137463118,20.0,182
